Fecha,Precio Mont Belvieu,Precio Dolar,Participacion FEPC,Precio GLP
2020 Mar- 9 to Mar-13 hasta 2020 Mar-16 to Mar-20,0.278,3.474,SI,0.91
2020 Mar-16 to Mar-20 hasta 2020 Mar-23 to Mar-27,0.241,3.439,SI,0.80
2020 Mar-23 to Mar-27 hasta 2020 Mar-30 to Apr- 3,0.251,3.415,SI,0.78
2020 Mar-30 to Apr- 3 hasta 2020 Apr- 6 to Apr-10,0.286,3.389,SI,0.81
2020 Apr- 6 to Apr-10 hasta 2020 Apr-13 to Apr-17,0.327,3.403,SI,0.88
2020 Apr-13 to Apr-17 hasta 2020 Apr-20 to Apr-24,0.351,3.387,SI,0.91
2020 Apr-20 to Apr-24 hasta 2020 Apr-27 to May- 1,0.340,3.392,SI,0.87
2020 Apr-27 to May- 1 hasta 2020 May- 4 to May- 8,0.351,3.423,NO,0.88
2020 May- 4 to May- 8 hasta 2020 May-11 to May-15,0.386,3.431,NO,0.95
2020 May-11 to May-15 hasta 2020 May-18 to May-22,0.433,3.428,NO,1.04
2020 May-18 to May-22 hasta 2020 May-25 to May-29,0.460,3.431,NO,1.09
2020 May-25 to May-29 hasta 2020 Jun- 1 to Jun- 5,0.479,3.448,NO,1.15
2020 Jun- 1 to Jun- 5 hasta 2020 Jun- 8 to Jun-12,0.498,3.484,NO,1.20
2020 Jun- 8 to Jun-12 hasta 2020 Jun-15 to Jun-19,0.500,3.516,NO,1.21
2020 Jun-15 to Jun-19 hasta 2020 Jun-22 to Jun-26,0.501,3.535,NO,1.21
2020 Jun-22 to Jun-26 hasta 2020 Jun-29 to Jul- 3,0.478,3.523,NO,1.18
2020 Jun-29 to Jul- 3 hasta 2020 Jul- 6 to Jul-10,0.473,3.511,NO,1.17
2020 Jul- 6 to Jul-10 hasta 2020 Jul-13 to Jul-17,0.485,3.526,NO,1.19
2020 Jul-13 to Jul-17 hasta 2020 Jul-20 to Jul-24,0.497,3.533,NO,1.22
2020 Jul-20 to Jul-24 hasta 2020 Jul-27 to Jul-31,0.504,3.542,NO,1.24
2020 Jul-27 to Jul-31 hasta 2020 Aug- 3 to Aug- 7,0.499,3.561,NO,1.25
2020 Aug- 3 to Aug- 7 hasta 2020 Aug-10 to Aug-14,0.503,3.577,NO,1.27
2020 Aug-10 to Aug-14 hasta 2020 Aug-17 to Aug-21,0.505,3.558,NO,1.28
2020 Aug-17 to Aug-21 hasta 2020 Aug-24 to Aug-28,0.509,3.529,NO,1.29
2020 Aug-24 to Aug-28 hasta 2020 Aug-31 to Sep- 4,0.509,3.549,NO,1.30
2020 Aug-31 to Sep- 4 hasta 2020 Sep- 7 to Sep-11,0.483,3.547,NO,1.27
2020 Sep- 7 to Sep-11 hasta 2020 Sep-14 to Sep-18,0.481,3.551,NO,1.29
2020 Sep-14 to Sep-18 hasta 2020 Sep-21 to Sep-25,0.501,3.598,NO,1.33
2020 Sep-21 to Sep-25 hasta 2020 Sep-28 to Oct- 2,0.499,3.598,NO,1.30
2020 Sep-28 to Oct- 2 hasta 2020 Oct- 5 to Oct- 9,0.509,3.581,NO,1.31
2020 Oct- 5 to Oct- 9 hasta 2020 Oct-12 to Oct-16,0.525,3.590,NO,1.34
2020 Oct-12 to Oct-16 hasta 2020 Oct-19 to Oct-23,0.533,3.605,NO,1.36
2020 Oct-19 to Oct-23 hasta 2020 Oct-26 to Oct-30,0.534,3.602,NO,1.37
2020 Oct-26 to Oct-30 hasta 2020 Nov- 2 to Nov- 6,0.545,3.615,NO,1.41
2020 Nov- 2 to Nov- 6 hasta 2020 Nov- 9 to Nov-13,0.555,3.618,NO,1.47
2020 Nov- 9 to Nov-13 hasta 2020 Nov-16 to Nov-20,0.540,3.598,NO,1.47
2020 Nov-16 to Nov-20 hasta 2020 Nov-23 to Nov-27,0.531,3.594,NO,1.48
2020 Nov-23 to Nov-27 hasta 2020 Nov-30 to Dec- 4,0.557,3.588,NO,1.52
2020 Nov-30 to Dec- 4 hasta 2020 Dec- 7 to Dec-11,0.584,3.592,NO,1.56
2020 Dec- 7 to Dec-11 hasta 2020 Dec-14 to Dec-18,0.610,3.599,NO,1.61
2020 Dec-14 to Dec-18 hasta 2020 Dec-21 to Dec-25,0.665,3.611,NO,1.69
2020 Dec-21 to Dec-25 hasta 2020 Dec-28 to Jan- 1,0.718,3.612,NO,1.81
2020 Dec-28 to Jan- 1 hasta 2021 Jan- 4 to Jan- 8,0.770,3.609,NO,1.86
2021 Jan- 4 to Jan- 8 hasta 2021 Jan-11 to Jan-15,0.849,3.623,NO,1.93
2021 Jan-11 to Jan-15 hasta 2021 Jan-18 to Jan-22,0.879,3.635,NO,1.97
2021 Jan-18 to Jan-22 hasta 2021 Jan-25 to Jan-29,0.877,3.636,NO,1.99
2021 Jan-25 to Jan-29 hasta 2021 Feb- 1 to Feb- 5,0.869,3.640,NO,1.99
2021 Feb- 1 to Feb- 5 hasta 2021 Feb- 8 to Feb-12,0.859,3.647,NO,1.97
2021 Feb- 8 to Feb-12 hasta 2021 Feb-15 to Feb-19,0.912,3.649,NO,2.04
2021 Feb-15 to Feb-19 hasta 2021 Feb-22 to Feb-26,0.955,3.669,NO,2.13
2021 Feb-22 to Feb-26 hasta 2021 Mar- 1 to Mar- 5,0.963,3.699,NO,2.19
2021 Mar- 1 to Mar- 5 hasta 2021 Mar- 8 to Mar-12,0.953,3.711,NO,2.20
2021 Mar- 8 to Mar-12 hasta 2021 Mar-15 to Mar-19,0.923,3.723,NO,2.14
2021 Mar-15 to Mar-19 hasta 2021 Mar-22 to Mar-26,0.901,3.734,NO,2.09
2021 Mar-22 to Mar-26 hasta 2021 Mar-29 to Apr- 2,0.894,3.674,NO,2.10
2021 Mar-29 to Apr- 2 hasta 2021 Apr- 5 to Apr- 9,0.895,3.623,NO,2.07
2021 Apr- 5 to Apr- 9 hasta 2021 Apr-12 to Apr-16,0.842,3.710,NO,1.92
2021 Apr-12 to Apr-16 hasta 2021 Apr-19 to Apr-23,0.771,3.782,NO,1.83
2021 Apr-19 to Apr-23 hasta 2021 Apr-26 to Apr-30,0.794,3.793,NO,1.94
2021 Apr-26 to Apr-30 hasta 2021 May- 3 to May- 7,0.819,3.740,NO,2.03
2021 May- 3 to May- 7 hasta 2021 May-10 to May-14,0.802,3.707,NO,1.99
2021 May-10 to May-14 hasta 2021 May-17 to May-21,0.799,3.777,NO,1.99
2021 May-17 to May-21 hasta 2021 May-24 to May-28,0.830,3.819,NO,2.08
2021 May-24 to May-28 hasta 2021 May-31 to Jun- 4,0.883,3.859,NO,2.17
2021 May-31 to Jun- 4 hasta 2021 Jun- 7 to Jun-11,0.920,3.920,NO,2.30
2021 Jun- 7 to Jun-11 hasta 2021 Jun-14 to Jun-18,0.944,3.961,NO,2.38
2021 Jun-14 to Jun-18 hasta 2021 Jun-21 to Jun-25,0.982,3.931,NO,2.47
2021 Jun-21 to Jun-25 hasta 2021 Jun-28 to Jul- 2,1.039,3.924,NO,2.69
2021 Jun-28 to Jul- 2 hasta 2021 Jul- 5 to Jul- 9,1.079,3.921,NO,2.76
2021 Jul- 5 to Jul- 9 hasta 2021 Jul-12 to Jul-16,1.094,3.899,NO,2.81
2021 Jul-12 to Jul-16 hasta 2021 Jul-19 to Jul-23,1.081,3.987,NO,2.77
2021 Jul-19 to Jul-23 hasta 2021 Jul-26 to Jul-30,1.081,4.070,NO,2.79
2021 Jul-26 to Jul-30 hasta 2021 Aug- 2 to Aug- 6,1.096,4.082,NO,2.87
